inches,touch_screen,ram,memory_SSD,memory_HDD,weight,company = Acer,company = Apple,company = Asus,company = Dell,company = HP,company = Lenovo,company = MSI,company = Other,company = Toshiba,type = 2 in 1 Convertible,type = Gaming,type = Netbook,type = Notebook,type = Ultrabook,type = Workstation,cpu = AMD,cpu = Intel Celeron,cpu = Intel Core M,cpu = Intel Core i3,cpu = Intel Core i5,cpu = Intel Core i7,cpu = Intel Pentium,cpu = Other,gpu = AMD Radeon 5,gpu = AMD Radeon R,gpu = Intel HD,gpu = Nvidia GeForce,gpu = Nvidia GeForce GTX,gpu = Nvidia Quadro,gpu = Other,op_sys = Linux,op_sys = No OS,op_sys = Other,op_sys = Windows,hd_category = FullHD,hd_category = HD,hd_category = QuadHD,hd_category = UHD
15.6,0,4,0,500,2.1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0
15.6,0,4,0,500,2.4,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0
15.6,0,8,0,1024,2.45,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0
15.6,0,4,0,1024,2.18,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0
17.3,0,8,256,0,2.8,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0
15.6,0,4,0,1024,2.65,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0
17.3,0,6,0,2048,2.71,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0
15.6,0,4,256,0,2.2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0
17.3,0,16,256,1024,4.42,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0
15.6,0,8,0,2048,2.2,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0
13.5,1,8,256,0,1.252,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0
